district_sd,Count
,318
"SD0,SD108",9
"SD0,SD200",879
"SD0,SD224",2
"SD0,SD268",487
"SD0,SD311",49
"SD0,SD333",7
"SD0,SD361",10
"SD0,SD459",28
SD0101,64
SD0102,2037
SD0106,28
SD0107,1924
SD0108,1603
SD0109,26
SD0110,1125
SD0111,1476
SD0113,4679
SD0114,2171
SD0115,3005
SD0205,2
SD0206,481
SD0208,1923
SD0209,18
SD0211,10
SD0212,231
SD0219,90
SD0220,7
SD0223,1628
SD0224,341
SD0225,633
SD0226,1808
SD0234,10593
SD0235,1708
SD0237,2150
SD0239,2062
SD0240,1494
SD0241,12
SD0245,33
SD0248,2
SD0254,43
SD0258,34
SD0262,4
SD0263,2034
SD0264,237
SD0267,389
SD0269,519
SD0270,1659
SD0271,1444
SD0272,1854
SD0273,3269
SD0274,1551
SD0275,284
SD0282,1734
SD0283,349
SD0284,2
SD0285,42
SD0286,1721
SD0287,13
SD0291,103
SD0292,42
SD0293,34
SD0294,1871
SD0298,12
SD0299,121
SD0300,1150
SD0306,21
SD0307,41
SD0308,21273
SD0309,5041
SD0310,1538
SD0311,1125
SD0312,3032
SD0313,9796
SD0316,256
SD0321,539
SD0322,102
SD0325,2535
SD0326,650
SD0327,2443
SD0329,1
SD0331,287
SD0332,30
SD0333,4
SD0334,37
SD0335,1327
SD0336,4058
SD0337,3137
SD0338,38
SD0339,94
SD0340,58
SD0344,1466
SD0346,2575
SD0347,1315
SD0349,2
SD0351,200
SD0353,6642
SD0356,1579
SD0357,2409
SD0358,1383
SD0359,679
SD0360,1083
SD0362,3596
SD0364,3745
SD0365,4655
SD0366,1840
SD0369,833
SD0371,603
SD0373,14898
SD0374,22
SD0376,116
SD0377,3124
SD0378,12
SD0379,14
SD0380,2081
SD0381,875
SD0382,4814
SD0383,31
SD0384,2
SD0386,937
SD0387,963
SD0388,87
SD0389,2898
SD0390,387
SD0392,1510
SD0393,1096
SD0395,1513
SD0396,36
SD0397,779
SD0398,1250
SD0399,313
SD0400,3816
SD0403,663
SD0408,2589
SD0409,8356
SD0410,2590
SD0411,1092
SD0412,1521
SD0415,3957
SD0417,137
SD0418,9910
SD0419,1524
SD0422,1012
SD0423,2008
SD0426,14
SD0429,1275
SD0430,2118
SD0435,6034
SD0436,187
SD0438,585
SD0439,1150
SD0440,2064
SD0443,14384
SD0444,240
SD0446,2
SD0448,1696
SD0449,2
SD0459,853
SD0460,3162
SD0461,1727
SD0462,1153
SD0463,1421
SD0465,8636
SD0466,3503
SD0467,1400
SD0468,160
SD0470,8863
SD0471,395
SD0473,4481
SD0474,507
SD0475,18729
SD0476,256
SD0477,528
SD0479,965
SD0480,10017
SD0481,743
SD0482,966
SD0483,1759
SD0484,2361
SD0487,1752
SD0492,3
SD0495,3379
SD0496,421
SD0498,1495
SD0502,439
SD0507,32
SD0509,637
"SD1,SD109",3
"SD1,SD109,SD4",790
"SD1,SD270",30
"SD1,SD284",571
"SD1,SD299",461
"SD1,SD331",14
"SD1,SD332",166
"SD1,SD388",1872
"SD1,SD397",144
"SD1,SD399",11
"SD1,SD407",3
"SD1,SD417",1790
"SD1,SD426",280
"SD1,SD432",1341
"SD1,SD481",669
"SD1,SD489",16056
"SD1,SD494",433
SD101,2576
SD102,86
SD103,766
SD105,1659
SD106,798
SD109,2
"SD109,SD2,SD5",974
"SD109,SD3,SD6",877
SD112,2432
"SD112,SD2",176
"SD14,SD363",652
"SD14,SD452",381
"SD2,SD284",576
"SD2,SD417",1216
"SD2,SD426",276
"SD2,SD481",3
"SD2,SD494",361
SD202,10819
SD203,10663
SD204,10082
SD205,2772
SD206,2133
SD207,1462
SD208,7
SD209,353
"SD209,SD210",824
SD210,2113
SD211,2898
SD212,392
SD213,32
SD214,3726
SD215,1663
SD216,537
SD217,472
SD218,1552
SD219,634
SD220,877
SD224,896
SD227,890
SD228,352
SD229,104883
SD230,15668
SD231,19082
SD232,29498
SD233,117888
SD235,3
SD239,28
SD240,120
SD241,890
SD242,235
SD243,1975
SD244,2975
SD245,1129
SD24614,933
SD24625,1104
SD24636,1088
SD247,1116
SD24714,595
SD24725,951
SD24736,590
SD248,40
SD24814,1469
SD24825,1236
SD24836,1245
SD249,2983
"SD25,SD363",688
"SD25,SD452",341
SD250,14908
SD251,2333
SD252,2042
SD253,15866
SD254,1933
SD255,944
SD256,1117
SD257,5615
SD258,1914
SD259,198144
SD260,24740
SD261,15097
SD262,11327
SD263,5115
SD264,3939
SD265,22445
SD266,30956
SD267,6418
SD268,2041
SD269,44
"SD269,SD3",10
SD273,13
SD274,255
SD275,49
SD281,1675
SD283,122
SD284,27
"SD284,SD3",673
SD285,541
SD287,3558
SD288,2102
SD289,3638
SD290,10354
SD291,322
SD292,597
SD293,922
SD294,35
SD297,1519
SD298,1554
SD299,541
"SD3,SD300",14
"SD3,SD426",272
"SD3,SD494",520
SD303,1117
SD305,31934
SD306,2355
SD307,1240
SD309,114
SD310,11
SD311,9
SD312,629
SD314,453
SD315,4474
SD316,238
SD320,5726
SD321,4867
SD322,1260
SD323,4176
SD326,49
SD327,201
SD329,2745
SD33,123
SD330,2303
SD331,3882
"SD331,SD5",83
"SD331,SD6",43
SD332,726
SD333,4376
SD334,874
SD336,7
SD338,1504
SD339,1463
SD340,3642
SD341,2626
SD342,2490
SD343,4857
SD345,15036
SD347,11
SD348,6296
SD349,835
SD350,1211
SD351,477
SD352,3719
SD355,1867
SD356,222
SD359,32
"SD36,SD363",523
"SD36,SD452",324
SD361,3159
SD362,840
SD365,127
SD367,4173
SD368,9291
SD369,31
SD372,2449
SD374,1257
SD375,8180
SD376,1972
SD377,3
SD378,3531
SD379,5612
SD380,2
SD381,16
SD383,35977
SD384,1255
SD385,21703
SD386,67
SD389,2
SD393,291
SD394,6299
SD395,10
SD396,2380
SD397,8
SD398,138
SD399,164
SD400,585
SD401,545
SD402,8394
SD403,295
SD404,2868
SD405,2510
SD407,3803
SD412,3
SD413,7512
SD416,7733
SD417,404
SD42,2737
SD421,2122
SD428,10785
SD431,2459
SD432,2
SD434,4623
SD436,2596
SD437,26161
SD438,52
SD439,273
SD440,862
SD443,5
SD444,807
SD445,7452
SD446,8430
SD447,2620
SD448,20
SD449,2769
SD45,46
SD450,15236
SD452,4
SD453,18733
SD454,1241
SD456,850
SD457,19887
SD458,11857
SD459,3
SD461,147
SD462,16
SD464,8559
SD468,12
SD469,9977
SD475,1557
SD476,68
SD479,40
SD482,9
SD484,24
SD487,124
SD489,601
SD490,8341
SD491,5397
SD492,1013
SD493,5046
SD495,320
SD496,8
SD497,65504
SD498,14
SD499,2589
SD500,60295
SD501,55265
SD503,5883
SD504,1352
SD505,1772
SD506,5172
SD507,852
SD508,3526
SD511,497
SD512,179772
